file,version,trades,winners,losers,flat,force_closes,win_rate,spot_pnl_pips,synth_pnl_pips,total_pips,avg_pips,available_pips,capture_rate_pct
binance_trades_20260406_000116.csv,v4,27,10,11,6,1,37.0,12.0,3.0,15.0,0.56,276.0,5.43
binance_trades_20260406_000510.csv,v4,28,15,9,4,1,53.6,21.0,19.0,40.0,1.43,206.0,19.42
binance_trades_20260406_000946.csv,v4,35,16,12,7,1,45.7,16.0,20.0,36.0,1.03,247.0,14.57
binance_trades_20260406_001708.csv,v4,15,9,3,3,1,60.0,34.0,15.0,49.0,3.27,296.0,16.55
binance_trades_20260406_002327.csv,v4,9,4,2,3,1,44.4,-25.0,8.0,-17.0,-1.89,269.0,-6.32
binance_trades_20260406_002939.csv,v4,27,11,12,4,1,40.7,25.0,19.0,44.0,1.63,266.0,16.54
binance_trades_20260406_003354.csv,v4,29,13,10,6,1,44.8,30.0,22.0,52.0,1.79,253.0,20.55
binance_trades_20260406_004046.csv,v4,22,14,5,3,1,63.6,28.0,29.0,57.0,2.59,239.0,23.85
binance_trades_20260406_004442.csv,v4,21,10,9,2,1,47.6,22.0,22.0,44.0,2.1,215.0,20.47
binance_trades_20260406_005333.csv,v4,11,5,5,1,1,45.5,-19.0,25.0,6.0,0.55,336.0,1.79
binance_trades_20260406_010248.csv,v4,34,12,11,11,1,35.3,16.0,1.0,17.0,0.5,300.0,5.67
binance_trades_20260406_010919.csv,v4,4,3,1,0,1,75.0,-5.0,22.0,17.0,4.25,272.0,6.25
binance_trades_20260406_011737.csv,v4,17,10,5,2,1,58.8,30.0,30.0,60.0,3.53,246.0,24.39
binance_trades_20260406_012317.csv,v4,23,10,5,8,1,43.5,20.0,22.0,42.0,1.83,190.0,22.11
binance_trades_20260406_013113.csv,v4,28,15,8,5,1,53.6,14.0,11.0,25.0,0.89,220.0,11.36
binance_trades_20260406_013946.csv,v4,19,10,5,4,1,52.6,30.0,13.0,43.0,2.26,226.0,19.03
binance_trades_20260406_014819.csv,v4,25,13,8,4,1,52.0,22.0,11.0,33.0,1.32,256.0,12.89
binance_trades_20260406_015754.csv,v4,19,11,5,3,1,57.9,20.0,28.0,48.0,2.53,245.0,19.59
binance_trades_20260406_020513.csv,v4,22,10,9,3,1,45.5,36.0,4.0,40.0,1.82,242.0,16.53
binance_trades_20260406_021040.csv,v4,21,10,6,5,1,47.6,36.0,9.0,45.0,2.14,198.0,22.73
binance_trades_20260406_021441.csv,v4,22,12,3,7,1,54.5,58.0,6.0,64.0,2.91,229.0,27.95
binance_trades_20260406_021941.csv,v4,19,10,5,4,1,52.6,29.0,17.0,46.0,2.42,217.0,21.2
binance_trades_20260406_022420.csv,v4,24,15,6,3,1,62.5,17.0,19.0,36.0,1.5,163.0,22.09
binance_trades_20260406_023102.csv,v4,20,8,5,7,1,40.0,24.0,17.0,41.0,2.05,266.0,15.41
binance_trades_20260406_023650.csv,v4,26,12,9,5,1,46.2,12.0,16.0,28.0,1.08,226.0,12.39
binance_trades_20260406_024243.csv,v4,4,2,2,0,1,50.0,-21.0,17.0,-4.0,-1.0,241.0,-1.66
binance_trades_20260406_025014.csv,v4,24,11,9,4,1,45.8,21.0,5.0,26.0,1.08,226.0,11.5
binance_trades_20260406_030039.csv,v4,23,11,9,3,1,47.8,5.0,15.0,20.0,0.87,267.0,7.49
binance_trades_20260406_030929.csv,v4,25,12,10,3,1,48.0,9.0,16.0,25.0,1.0,259.0,9.65
binance_trades_20260406_031845.csv,v4,20,15,5,0,1,75.0,18.0,34.0,52.0,2.6,282.0,18.44
binance_trades_20260406_032247.csv,v4,10,9,1,0,1,90.0,38.0,37.0,75.0,7.5,237.0,31.65
binance_trades_20260406_033200.csv,v4,23,12,5,6,1,52.2,35.0,10.0,45.0,1.96,269.0,16.73
binance_trades_20260406_034129.csv,v4,13,5,7,1,1,38.5,-15.0,28.0,13.0,1.0,263.0,4.94
binance_trades_20260406_035059.csv,v4,23,10,7,6,1,43.5,26.0,6.0,32.0,1.39,246.0,13.01
binance_trades_20260406_035948.csv,v4,14,10,3,1,1,71.4,14.0,19.0,33.0,2.36,212.0,15.57
binance_trades_20260406_040744.csv,v4,16,8,5,3,1,50.0,23.0,24.0,47.0,2.94,243.0,19.34
binance_trades_20260406_041918.csv,v4,23,11,7,5,1,47.8,7.0,9.0,16.0,0.7,263.0,6.08
binance_trades_20260406_043028.csv,v4,21,12,7,2,1,57.1,23.0,18.0,41.0,1.95,294.0,13.95
binance_trades_20260406_043808.csv,v4,25,10,11,4,1,40.0,20.0,-7.0,13.0,0.52,256.0,5.08
binance_trades_20260406_045108.csv,v4,24,10,10,4,1,41.7,2.0,15.0,17.0,0.71,344.0,4.94
binance_trades_20260406_050941.csv,v4,23,5,11,7,1,21.7,-9.0,15.0,6.0,0.26,371.0,1.62
binance_trades_20260406_052524.csv,v4,30,14,12,4,1,46.7,16.0,11.0,27.0,0.9,310.0,8.71
binance_trades_20260406_053816.csv,v4,28,14,10,4,1,50.0,13.0,10.0,23.0,0.82,286.0,8.04
binance_trades_20260406_055524.csv,v4,31,15,10,6,1,48.4,20.0,3.0,23.0,0.74,375.0,6.13
binance_trades_20260406_060728.csv,v4,36,17,12,7,1,47.2,31.0,-5.0,26.0,0.72,327.0,7.95
binance_trades_20260406_061500.csv,v4,25,12,6,7,1,48.0,31.0,10.0,41.0,1.64,286.0,14.34
binance_trades_20260406_062425.csv,v4,3,0,3,0,1,0.0,-45.0,-1.0,-46.0,-15.33,277.0,-16.61
binance_trades_20260406_063147.csv,v4,7,4,2,1,1,57.1,-8.0,24.0,16.0,2.29,239.0,6.69
binance_trades_20260406_064322.csv,v4,27,12,7,8,1,44.4,33.0,6.0,39.0,1.44,316.0,12.34
binance_trades_20260406_065347.csv,v4,24,11,9,4,1,45.8,27.0,6.0,33.0,1.38,313.0,10.54
binance_trades_20260406_071021.csv,v4,27,14,9,4,1,51.9,-0.0,36.0,36.0,1.33,333.0,10.81
binance_trades_20260406_072026.csv,v4,30,9,16,5,1,30.0,31.0,-22.0,9.0,0.3,590.0,1.53
binance_trades_20260406_073244.csv,v4,28,12,11,5,1,42.9,10.0,16.0,26.0,0.93,340.0,7.65
binance_trades_20260406_074515.csv,v4,23,13,8,2,1,56.5,39.0,35.0,74.0,3.22,459.0,16.12
binance_trades_20260406_075519.csv,v4,32,10,18,4,1,31.2,34.0,-19.0,15.0,0.47,307.0,4.89
binance_trades_20260406_080828.csv,v4,17,11,5,1,1,64.7,13.0,21.0,34.0,2.0,340.0,10.0
binance_trades_20260406_082155.csv,v4,26,12,10,4,1,46.2,-7.0,28.0,21.0,0.81,453.0,4.64
binance_trades_20260406_083640.csv,v4,27,8,12,7,1,29.6,13.0,6.0,19.0,0.7,319.0,5.96
binance_trades_20260406_085109.csv,v4,6,3,2,1,1,50.0,-30.0,17.0,-13.0,-2.17,376.0,-3.46
binance_trades_20260406_090320.csv,v4,21,10,6,5,1,47.6,42.0,27.0,69.0,3.29,398.0,17.34
binance_trades_20260406_091413.csv,v4,31,14,12,5,1,45.2,40.0,-10.0,30.0,0.97,283.0,10.6
binance_trades_20260406_091851.csv,v4,20,11,3,6,1,55.0,38.0,27.0,65.0,3.25,250.0,26.0
binance_trades_20260406_092341.csv,v4,31,13,13,5,1,41.9,38.0,1.0,39.0,1.26,273.0,14.29
binance_trades_20260406_093010.csv,v4,14,6,7,1,1,42.9,-17.0,2.0,-15.0,-1.07,297.0,-5.05
binance_trades_20260406_093855.csv,v4,27,13,10,4,1,48.1,20.0,23.0,43.0,1.59,266.0,16.17
binance_trades_20260406_094648.csv,v4,23,12,7,4,1,52.2,36.0,18.0,54.0,2.35,278.0,19.42
binance_trades_20260406_095729.csv,v4,20,6,12,2,1,30.0,-19.0,1.0,-18.0,-0.9,323.0,-5.57
binance_trades_20260406_101136.csv,v4,27,11,12,4,1,40.7,21.0,-14.0,7.0,0.26,417.0,1.68
binance_trades_20260406_102636.csv,v4,28,11,10,7,1,39.3,5.0,19.0,24.0,0.86,384.0,6.25
binance_trades_20260406_103912.csv,v4,27,13,5,9,1,48.1,32.0,17.0,49.0,1.81,367.0,13.35
binance_trades_20260406_104952.csv,v4,15,9,5,1,1,60.0,24.0,35.0,59.0,3.93,367.0,16.08
binance_trades_20260406_110117.csv,v4,18,9,7,2,1,50.0,12.0,31.0,43.0,2.39,397.0,10.83
binance_trades_20260406_111106.csv,v4,10,1,7,2,1,10.0,-9.0,-5.0,-14.0,-1.4,462.0,-3.03
binance_trades_20260406_112631.csv,v4,39,13,15,11,1,33.3,-4.0,2.0,-2.0,-0.05,372.0,-0.54
binance_trades_20260406_114319.csv,v4,30,11,13,6,1,36.7,7.0,-6.0,1.0,0.03,331.0,0.3
binance_trades_20260406_115937.csv,v4,27,9,12,6,1,33.3,-8.0,5.0,-3.0,-0.11,380.0,-0.79
binance_trades_20260406_121420.csv,v4,30,12,12,6,1,40.0,3.0,10.0,13.0,0.43,404.0,3.22
binance_trades_20260406_123055.csv,v4,16,3,11,2,1,18.8,-20.0,4.0,-16.0,-1.0,408.0,-3.92
binance_trades_20260406_124650.csv,v4,29,8,15,6,1,27.6,-9.0,2.0,-7.0,-0.24,424.0,-1.65
binance_trades_20260406_125824.csv,v4,21,9,10,2,1,42.9,-8.0,6.0,-2.0,-0.1,323.0,-0.62
binance_trades_20260406_131753.csv,v4,29,11,13,5,1,37.9,21.0,-1.0,20.0,0.69,451.0,4.43
binance_trades_20260406_133309.csv,v4,26,15,9,2,1,57.7,41.0,24.0,65.0,2.5,361.0,18.01
binance_trades_20260406_133933.csv,v4,19,14,3,2,1,73.7,29.0,53.0,82.0,4.32,283.0,28.98
binance_trades_20260406_134730.csv,v4,31,17,13,1,1,54.8,24.0,11.0,35.0,1.13,284.0,12.32
binance_trades_20260406_135433.csv,v4,28,14,6,8,1,50.0,45.0,36.0,81.0,2.89,263.0,30.8
binance_trades_20260406_140342.csv,v4,24,11,10,3,1,45.8,39.0,4.0,43.0,1.79,354.0,12.15
binance_trades_20260406_140950.csv,v4,32,11,13,8,1,34.4,20.0,3.0,23.0,0.72,265.0,8.68
binance_trades_20260406_141749.csv,v4,28,13,10,5,1,46.4,27.0,5.0,32.0,1.14,277.0,11.55
binance_trades_20260406_142424.csv,v4,34,19,10,5,1,55.9,50.0,11.0,61.0,1.79,266.0,22.93
binance_trades_20260406_143325.csv,v4,26,14,7,5,1,53.8,23.0,41.0,64.0,2.46,296.0,21.62
binance_trades_20260406_143935.csv,v4,31,14,10,7,1,45.2,31.0,26.0,57.0,1.84,259.0,22.01
binance_trades_20260406_144554.csv,v4,20,10,8,2,1,50.0,48.0,13.0,61.0,3.05,235.0,25.96
binance_trades_20260406_145518.csv,v4,28,15,8,5,1,53.6,45.0,29.0,74.0,2.64,326.0,22.7
binance_trades_20260406_150446.csv,v4,30,14,10,6,1,46.7,26.0,22.0,48.0,1.6,320.0,15.0
binance_trades_20260406_151237.csv,v4,16,11,1,4,1,68.8,42.0,53.0,95.0,5.94,288.0,32.99
binance_trades_20260406_152206.csv,v4,21,15,4,2,1,71.4,39.0,49.0,88.0,4.19,316.0,27.85
binance_trades_20260406_153148.csv,v4,33,18,7,8,1,54.5,39.0,18.0,57.0,1.73,325.0,17.54
binance_trades_20260406_154157.csv,v4,27,16,5,6,1,59.3,32.0,30.0,62.0,2.3,309.0,20.06
binance_trades_20260406_155259.csv,v4,28,12,12,4,1,42.9,42.0,-6.0,36.0,1.29,357.0,10.08
binance_trades_20260406_160723.csv,v4,36,18,12,6,1,50.0,17.0,16.0,33.0,0.92,383.0,8.62
binance_trades_20260406_161728.csv,v4,31,16,12,3,1,51.6,22.0,14.0,36.0,1.16,299.0,12.04
binance_trades_20260406_163434.csv,v4,31,13,12,6,1,41.9,7.0,18.0,25.0,0.81,367.0,6.81
binance_trades_20260406_164829.csv,v4,27,14,10,3,1,51.9,20.0,24.0,44.0,1.63,346.0,12.72
binance_trades_20260406_165727.csv,v4,8,3,3,2,1,37.5,-64.0,7.0,-57.0,-7.12,279.0,-20.43
binance_trades_20260406_170439.csv,v4,15,8,4,3,1,53.3,-11.0,26.0,15.0,1.0,248.0,6.05
binance_trades_20260406_171326.csv,v4,31,19,9,3,1,61.3,36.0,25.0,61.0,1.97,260.0,23.46
binance_trades_20260406_171923.csv,v4,19,9,5,5,1,47.4,16.0,21.0,37.0,1.95,276.0,13.41
binance_trades_20260406_172912.csv,v4,34,18,9,7,1,52.9,44.0,-3.0,41.0,1.21,311.0,13.18
binance_trades_20260406_174134.csv,v4,25,15,7,3,1,60.0,19.0,50.0,69.0,2.76,295.0,23.39
binance_trades_20260406_180418.csv,v4,36,15,17,4,1,41.7,-9.0,9.0,-0.0,-0.0,421.0,-0.0
binance_trades_20260406_181415.csv,v4,28,10,14,4,1,35.7,51.0,3.0,54.0,1.93,348.0,15.52
binance_trades_20260406_182607.csv,v4,32,15,15,2,1,46.9,23.0,27.0,50.0,1.56,271.0,18.45
binance_trades_20260406_183424.csv,v4,30,16,7,7,1,53.3,38.0,8.0,46.0,1.53,282.0,16.31
binance_trades_20260406_185936.csv,v4,19,13,1,5,1,68.4,33.0,40.0,73.0,3.84,430.0,16.98
binance_trades_20260406_191547.csv,v4,15,5,5,5,1,33.3,-6.0,13.0,7.0,0.47,364.0,1.92
binance_trades_20260406_193629.csv,v4,32,16,11,5,1,50.0,22.0,22.0,44.0,1.38,403.0,10.92
binance_trades_20260406_195847.csv,v4,28,21,4,3,1,75.0,33.0,38.0,71.0,2.54,367.0,19.35
binance_trades_20260406_200935.csv,v4,20,12,5,3,1,60.0,46.0,30.0,76.0,3.8,299.0,25.42
binance_trades_20260406_202715.csv,v4,36,14,12,10,1,38.9,14.0,3.0,17.0,0.47,326.0,5.21
binance_trades_20260406_205733.csv,v4,32,12,9,11,1,37.5,1.0,10.0,11.0,0.34,517.0,2.13
binance_trades_20260406_212216.csv,v4,24,10,9,5,1,41.7,0.0,23.0,23.0,0.96,390.0,5.9
binance_trades_20260406_214153.csv,v4,26,15,9,2,1,57.7,19.0,34.0,53.0,2.04,399.0,13.28
binance_trades_20260406_215533.csv,v4,28,16,6,6,1,57.1,17.0,30.0,47.0,1.68,340.0,13.82
binance_trades_20260406_220521.csv,v4,29,11,13,5,1,37.9,5.0,19.0,24.0,0.83,285.0,8.42
binance_trades_20260406_222410.csv,v4,40,16,18,6,1,40.0,2.0,16.0,18.0,0.45,345.0,5.22
binance_trades_20260406_224259.csv,v4,24,8,13,3,1,33.3,-27.0,6.0,-21.0,-0.88,375.0,-5.6
binance_trades_20260406_230327.csv,v4,5,1,3,1,1,20.0,-52.0,1.0,-51.0,-10.2,283.0,-18.02
binance_trades_20260406_230914.csv,v4,11,7,4,0,1,63.6,-3.0,36.0,33.0,3.0,228.0,14.47
binance_trades_20260406_231623.csv,v4,30,13,12,5,1,43.3,22.0,32.0,54.0,1.8,254.0,21.26
binance_trades_20260406_232358.csv,v4,30,14,8,8,1,46.7,48.0,25.0,73.0,2.43,271.0,26.94
binance_trades_20260406_233613.csv,v4,23,12,8,3,1,52.2,33.0,22.0,55.0,2.39,318.0,17.3
binance_trades_20260406_234525.csv,v4,20,12,4,4,1,60.0,62.0,26.0,88.0,4.4,265.0,33.21
binance_trades_20260406_235845.csv,v4,25,20,4,1,1,80.0,34.0,34.0,68.0,2.72,279.0,24.37
